date,America,Europe,China,Korea
2019-09-05,0.4964518050588868,0.0841818187978932,0.5018702933685105,74.67100727575706
2019-09-06,0.5025197357665986,0.08502903114483988,0.498685084539299,74.20590947549395
2019-09-07,0.5093229607468186,0.08462831541303219,0.497717036187339,72.75293921583112
2019-09-08,0.504746561842185,0.08503176565475198,0.4970317415769192,73.37312025158428
2019-09-09,0.496587564227438,0.08363616058349121,0.49217549814278955,75.14896556138808
2019-09-10,0.4853869923413529,0.08314791814529876,0.4934569338843342,76.0399222194675
2019-09-11,0.4832496517511386,0.08192254146157618,0.485759215813986,75.1584813456312
2019-09-12,0.4817813617165939,0.08153579433154766,0.491235369062178,76.05470291915948
2019-09-13,0.4846563823098794,0.08195717219320801,0.49195859832089167,75.35040193608145
2019-09-14,0.49305932793998464,0.08340481827413049,0.48739684085036294,72.81675484679656
